filename,fsim,fid,lpips
image_7951_label_[2].jpeg,0.5311223268508911,0.22042647004127502,0.17047007381916046
image_4634_label_[7].jpeg,0.5542159080505371,0.22042647004127502,0.14167875051498413
image_8055_label_[2].jpeg,0.5888064503669739,0.22042647004127502,0.18647965788841248
image_644_label_[9].jpeg,0.5924289226531982,0.22042647004127502,0.13875535130500793
image_8175_label_[3].jpeg,0.5946734547615051,0.22042647004127502,0.17002777755260468
image_4045_label_[7].jpeg,0.4633249342441559,0.22042647004127502,0.3224642872810364
image_3601_label_[0].jpeg,0.6346867680549622,0.22042647004127502,0.12426034361124039
image_7396_label_[8].jpeg,0.5889480710029602,0.22042647004127502,0.0851990357041359
image_982_label_[0].jpeg,0.5597772598266602,0.22042647004127502,0.1352335512638092
image_6717_label_[0].jpeg,0.5964328050613403,0.22042647004127502,0.14570973813533783
image_3049_label_[3].jpeg,0.612743616104126,0.22042647004127502,0.1619909256696701
image_118_label_[2].jpeg,0.5675132870674133,0.22042647004127502,0.21538026630878448
image_4396_label_[9].jpeg,0.5941277146339417,0.22042647004127502,0.1240982860326767
image_4693_label_[4].jpeg,0.541877269744873,0.22042647004127502,0.2251165211200714
image_5038_label_[4].jpeg,0.597873330116272,0.22042647004127502,0.20092782378196716
image_7611_label_[7].jpeg,0.6169320344924927,0.22042647004127502,0.17981107532978058
image_8695_label_[4].jpeg,0.5692828893661499,0.22042647004127502,0.24865508079528809
image_5858_label_[7].jpeg,0.5206739902496338,0.22042647004127502,0.14167170226573944
image_3939_label_[9].jpeg,0.5992428064346313,0.22042647004127502,0.17412135004997253
image_8562_label_[2].jpeg,0.6615086197853088,0.22042647004127502,0.15016715228557587
image_1690_label_[2].jpeg,0.6000896096229553,0.22042647004127502,0.17803329229354858
image_7647_label_[6].jpeg,0.6161751747131348,0.22042647004127502,0.18376114964485168
image_3481_label_[7].jpeg,0.5625833868980408,0.22042647004127502,0.19523821771144867
image_2781_label_[7].jpeg,0.5892570614814758,0.22042647004127502,0.1763039529323578
image_3516_label_[9].jpeg,0.6413224339485168,0.22042647004127502,0.12335069477558136
image_5022_label_[2].jpeg,0.5731738209724426,0.22042647004127502,0.18000641465187073
image_3003_label_[2].jpeg,0.611794114112854,0.22042647004127502,0.17204900085926056
image_1042_label_[5].jpeg,0.6335050463676453,0.22042647004127502,0.16613344848155975
image_895_label_[1].jpeg,0.5694921612739563,0.22042647004127502,0.0858675017952919
image_781_label_[1].jpeg,0.6019439697265625,0.22042647004127502,0.14180731773376465
image_3720_label_[2].jpeg,0.528011679649353,0.22042647004127502,0.1910165399312973
image_9279_label_[8].jpeg,0.6118256449699402,0.22042647004127502,0.15247070789337158
image_9310_label_[3].jpeg,0.624127984046936,0.22042647004127502,0.18847374618053436
image_9801_label_[6].jpeg,0.5134608745574951,0.22042647004127502,0.281522661447525
image_3155_label_[8].jpeg,0.5901980400085449,0.22042647004127502,0.17047451436519623
image_5562_label_[4].jpeg,0.5841888189315796,0.22042647004127502,0.1831711232662201
image_6713_label_[2].jpeg,0.6156107783317566,0.22042647004127502,0.143996000289917
image_2400_label_[0].jpeg,0.433298259973526,0.22042647004127502,0.22448959946632385
image_4506_label_[1].jpeg,0.5774913430213928,0.22042647004127502,0.1169985830783844
image_5548_label_[8].jpeg,0.5927600264549255,0.22042647004127502,0.17482443153858185
image_3659_label_[6].jpeg,0.6610513925552368,0.22042647004127502,0.1514841467142105
image_7756_label_[5].jpeg,0.6009137034416199,0.22042647004127502,0.1549847573041916
image_6978_label_[4].jpeg,0.58798748254776,0.22042647004127502,0.17037685215473175
image_9873_label_[2].jpeg,0.5827361345291138,0.22042647004127502,0.1265154480934143
image_1978_label_[6].jpeg,0.6207050681114197,0.22042647004127502,0.17020989954471588
image_1562_label_[6].jpeg,0.6337547898292542,0.22042647004127502,0.12529513239860535
image_4388_label_[2].jpeg,0.5119354724884033,0.22042647004127502,0.1767265498638153
image_3046_label_[8].jpeg,0.5837023854255676,0.22042647004127502,0.11686067283153534
image_929_label_[0].jpeg,0.6417505741119385,0.22042647004127502,0.12201367318630219
image_6689_label_[8].jpeg,0.6105596423149109,0.22042647004127502,0.13355237245559692
image_3999_label_[9].jpeg,0.5978752374649048,0.22042647004127502,0.11695417761802673
image_4707_label_[7].jpeg,0.5646028518676758,0.22042647004127502,0.11310550570487976
image_6988_label_[4].jpeg,0.5922674536705017,0.22042647004127502,0.21671593189239502
image_6535_label_[5].jpeg,0.6223558187484741,0.22042647004127502,0.10789698362350464
image_3984_label_[6].jpeg,0.6383459568023682,0.22042647004127502,0.17994552850723267
image_8325_label_[8].jpeg,0.6029959917068481,0.22042647004127502,0.18286007642745972
image_5900_label_[4].jpeg,0.6185952425003052,0.22042647004127502,0.2155025452375412
image_4255_label_[9].jpeg,0.6466044783592224,0.22042647004127502,0.09530983865261078
image_6017_label_[9].jpeg,0.6020691990852356,0.22042647004127502,0.14201003313064575
image_2338_label_[6].jpeg,0.6063939332962036,0.22042647004127502,0.19615551829338074
image_4953_label_[0].jpeg,0.5417938828468323,0.22042647004127502,0.12181353569030762
image_8830_label_[9].jpeg,0.5940680503845215,0.22042647004127502,0.09643055498600006
image_9773_label_[9].jpeg,0.6141251921653748,0.22042647004127502,0.16676948964595795
image_4191_label_[9].jpeg,0.6066591143608093,0.22042647004127502,0.09847738593816757
image_5335_label_[9].jpeg,0.6669296026229858,0.22042647004127502,0.13380415737628937
image_342_label_[2].jpeg,0.49179700016975403,0.22042647004127502,0.220716193318367
image_7930_label_[2].jpeg,0.5820372700691223,0.22042647004127502,0.22751742601394653
image_9767_label_[2].jpeg,0.5256243944168091,0.22042647004127502,0.17975342273712158
